✅ Preferred copy,❌ Less preferred copy,UX Element,Component type,Component slot,Description,Intent,Product,Status,Screenshot,Unique ID
You’ve passed your liveness check.,Liveness check passed successfully.,Action screen: title,Modal / Bottomsheet,Title,A success state / message when user has passed their liveness check during KYC process,Success,UAE,Done,,5
Identity verification in progress,Identity verification under review,Action screen: description,Modal / Bottomsheet,Body,A success state / message when user has passed their liveness check during KYC process,Success,UAE,Done,,3
Some features won’t be available until your account is verified.,Some features will be available only if your account is verified.,Action screen: description,Modal / Bottomsheet,CTA,A success state / message when user has passed their liveness check during KYC process,Success,UAE,Done,,7
Add funds,"• Add money
• Top up money
• Top up funds",,Page section,CTA,A button / call to action to encourage users to add money to their balance / Wallet,Guidance,UAE,Done,,2
Total balance,Total assets,Section title,Page section,Label,"A small text in a page, usually above the total amount of money that user has gathered in their Wallet",Guidance,UAE,Done,,6
You’re transferring,"Transfer amount
Not to confuse with: Transferred amount",Sub-section title,Page section,Title,A title in a subsection where user wants to transfer money,Guidance,UAE,Done,,4
You’ll receive,Transfer received,Sub-section title,Page section,Title,A title in a subsection where user sees the amount of money the receiver will get,Guidance,UAE,Done,,8
Confirm the transfer,Transfer confirmation,Section title,Page section,Title,A title in a subsection of the transfer flow where user is asked to check again the transfer details,Guidance,UAE,Done,,1
Transfer successful,Successfully transferred,Action screen: title,Page section,Title,A title where the user has done transferring successfully,Success,UAE,Done,,19
<amount> <currency> transferred from your <currency> Wallet.,You’ve transferred <amount> <currency> from your <currency> Wallet.,Action screen: description,Coachmark,Label,A short message explaining the details of user’s successful transfer,Success,UAE,Done,,10
Make a deposit,Deposit funds,Action screen: title,,,,,UAE,Done,,18
Add funds to your Wallet so you can transfer to MT5.,,Action screen: description,,,,,UAE,Done,,13
Go to Wallets,See Wallets,,,,,,UAE,Done,,15
Not a UAE resident?,I am not a UAE resident,Ghost button,,,,,UAE,Done,,9
Verification in progress,"• Verifying your details
• Verification under review",Action screen: title,,,,,UAE,Done,,11
Check your profile for updates on your account status.,,Action screen: description,,,,,UAE,Done,,14
Processing your <amount> <currency> deposit,Your deposit of <amount> <currency> is processing,Action screen: title,,,,,UAE,Done,,16
We’ll notify you when it’s complete.,,Action screen: description,,,,,UAE,Done,,17
"To authorise your withdrawal, enter the code sent to <phone_number>.",,Divider text,,,,,UAE,Done,,12
Withdrawn amount,Withdrawal amount,Sub-section title,,,,,UAE,Done,,23
Deposited amount,Deposit amount,Sub-section title,,,,,UAE,Done,,22
Transferred amount,Transfer amount,Sub-section title,,,,,UAE,Done,,26
"To deposit and start trading, verify your identity.",,"Error, warning",,,,,UAE,Done,,25
Send to which account?,Trading accounts,Section sub-title,,,,,UAE,Done,,28
Receive from which account?,Trading accounts,Section sub-title,,,,,UAE,Done,,20
Enter the verification code sent to <email_address>.,,Divider text,,,,,UAE,Done,,31
"Once updated, you can use the new email for your next login.",,Page body,,,,,UAE,Done,,21
Enter the address shown on your proof of address document.,,Page body,,,,,UAE,Done,,32
Upload a coloured photo or file,,,,,,,UAE,Done,,27
Take a photo in a well-lit room,Make sure your photo is well-lit,,,,,,UAE,Done,,30
Access temporarily paused,,Action screen: title,Modal / Bottomsheet,Title,A title when user’s access to Deriv account is paused for a while because they do not choose to accept the risk warning.,Confirmation,UAE,Done,,29
"It seems you’ve chosen not to accept the risk warning. To ensure responsible trading, we’ve temporarily paused your account access.",,Action screen: description,Modal / Bottomsheet,Body,A description when user’s access to Deriv account is paused for a while because they do not choose to accept the risk warning.,Confirmation,UAE,Done,,33
