✅ Preferred copy,Component slot,Component type,Description,Intent,Product,Screenshot,Status,UX Element,Unique ID,❌ Less preferred copy
Confirm the transfer,Title,Page section,A title in a subsection of the transfer flow where user is asked to check again the transfer details,Guidance,UAE,,Done,Section title,1,Transfer confirmation
Add funds,CTA,Page section,A button / call to action to encourage users to add money to their balance / Wallet,Guidance,UAE,,Done,,2,"• Add money
• Top up money
• Top up funds"
Identity verification in progress,Body,Modal / Bottomsheet,A success state / message when user has passed their liveness check during KYC process,Success,UAE,,Done,Action screen: description,3,Identity verification under review
You’re transferring,Title,Page section,A title in a subsection where user wants to transfer money,Guidance,UAE,,Done,Sub-section title,4,"Transfer amount
Not to confuse with: Transferred amount"
You’ve passed your liveness check.,Title,Modal / Bottomsheet,A success state / message when user has passed their liveness check during KYC process,Success,UAE,,Done,Action screen: title,5,Liveness check passed successfully.
Total balance,Label,Page section,"A small text in a page, usually above the total amount of money that user has gathered in their Wallet",Guidance,UAE,,Done,Section title,6,Total assets
Some features won’t be available until your account is verified.,CTA,Modal / Bottomsheet,A success state / message when user has passed their liveness check during KYC process,Success,UAE,,Done,Action screen: description,7,Some features will be available only if your account is verified.
You’ll receive,Title,Page section,A title in a subsection where user sees the amount of money the receiver will get,Guidance,UAE,,Done,Sub-section title,8,Transfer received
Not a UAE resident?,,,,,UAE,,Done,Ghost button,9,I am not a UAE resident
<amount> <currency> transferred from your <currency> Wallet.,Label,Coachmark,A short message explaining the details of user’s successful transfer,Success,UAE,,Done,Action screen: description,10,You’ve transferred <amount> <currency> from your <currency> Wallet.
Verification in progress,,,,,UAE,,Done,Action screen: title,11,"• Verifying your details
• Verification under review"
"To authorise your withdrawal, enter the code sent to <phone_number>.",,,,,UAE,,Done,Divider text,12,
Add funds to your Wallet so you can transfer to MT5.,,,,,UAE,,Done,Action screen: description,13,
Check your profile for updates on your account status.,,,,,UAE,,Done,Action screen: description,14,
Go to Wallets,,,,,UAE,,Done,,15,See Wallets
Processing your <amount> <currency> deposit,,,,,UAE,,Done,Action screen: title,16,Your deposit of <amount> <currency> is processing
We’ll notify you when it’s complete.,,,,,UAE,,Done,Action screen: description,17,
Make a deposit,,,,,UAE,,Done,Action screen: title,18,Deposit funds
Transfer successful,Title,Page section,A title where the user has done transferring successfully,Success,UAE,,Done,Action screen: title,19,Successfully transferred
Receive from which account?,,,,,UAE,,Done,Section sub-title,20,Trading accounts
"Once updated, you can use the new email for your next login.",,,,,UAE,,Done,Page body,21,
Deposited amount,,,,,UAE,,Done,Sub-section title,22,Deposit amount
Withdrawn amount,,,,,UAE,,Done,Sub-section title,23,Withdrawal amount
"You can log in after the remaining time has passed. If you believe this is a mistake, contact us via live chat.",Body,Modal / Bottomsheet,A further description when user’s access to Deriv account is paused for a while because they do not choose to accept the risk warning.,Confirmation,UAE,,Done,Action screen: description,24,
"To deposit and start trading, verify your identity.",,,,,UAE,,Done,"Error, warning",25,
Transferred amount,,,,,UAE,,Done,Sub-section title,26,Transfer amount
Upload a coloured photo or file,,,,,UAE,,Done,,27,
Send to which account?,,,,,UAE,,Done,Section sub-title,28,Trading accounts
Access temporarily paused,Title,Modal / Bottomsheet,A title when user’s access to Deriv account is paused for a while because they do not choose to accept the risk warning.,Confirmation,UAE,,Done,Action screen: title,29,
Take a photo in a well-lit room,,,,,UAE,,Done,,30,Make sure your photo is well-lit
Enter the verification code sent to <email_address>.,,,,,UAE,,Done,Divider text,31,
Enter the address shown on your proof of address document.,,,,,UAE,,Done,Page body,32,
"It seems you’ve chosen not to accept the risk warning. To ensure responsible trading, we’ve temporarily paused your account access.",Body,Modal / Bottomsheet,A description when user’s access to Deriv account is paused for a while because they do not choose to accept the risk warning.,Confirmation,UAE,,Done,Action screen: description,33,
The amount will be credited to your MT5 account once the transfer is complete.,,,,,UAE,,Not started,Action screen: description,34,The amount will be credited to your MT5 account once the transfer is completed.
We couldn’t process your withdrawal. Try again later.,,,,,,,Not started,Action screen: description,35,
Suitability score,Title,Page section,A light text on trading suitability context about the result that user gets after they do KYC or when we finish assessing their suitability to trade with Deriv.,Guidance,UAE,,Done,Action screen: title,36,Trading suitability score
Your transfer of <amount> AED is in process,,,,,UAE,,Not started,Action screen: title,37,Your transfer of <amount> AED is processing
Withdrawal unsuccessful,,,,,UAE,,Not started,Action screen: title,38,
Need help? Contact us via live chat.,Label,Coachmark,"A small text explaining that in case the user needs any help, they can contact our team 24/7. We don’t say “support team” or “CS team.” We say “live chat,” as stated in our official website.",Guidance,UAE,,Done,Action screen: description,39,Need help? Contact our support team.
Not enough funds in your AED Wallet for a withdrawal. Want to make a deposit instead?,,,,,UAE,,Not started,Warning body,40,
You can still transfer up to <amount> AED between your Wallet and trading account today.,,,,,UAE,,Not started,Warning body,41,
Complete assessment,,,,,UAE,,Not started,Warning title,42,
"Daily withdrawal limit: [Limit] AED
You can still withdraw up to <amount> AED today.",,,,,UAE,,Not started,Warning title,43,
Insufficient <currency> Wallet balance,,,,,UAE,,Not started,Warning title,44,
Unlock all features with a quick evaluation of your trading suitability.,,,,,UAE,,Not started,Warning body,45,
"By creating an account, you confirm that you are 18+, agree to our Terms and conditions, and accept that we may send you updates and marketing materials (see Security and privacy policy).",Checkbox,Modal / Bottomsheet,A checkbox text when user’s access to Deriv account is paused for a while because they do not choose to accept the risk warning.,Confirmation,UAE,,Done,Checkbox T&c,46,
We’ve analysed your answers to assess if trading is suitable for you.,Body,Page section,A light text on trading suitability context about the result that user gets after they do KYC or when we finish assessing their suitability to trade with Deriv.,Guidance,UAE,,Done,Action screen: description,47,"Based on your responses, we’ve assessed your trading suitability."
Use your MT5 password to activate your MT5 Standard account.,Helper,Page section,A divider or helper text to inform user to use their MT5 password to log in to their MT5 standard account,Guidance,UAE,,Done,Divider text,48,MT5 Standards / MT5 Std / MT5 standard
Try again,CTA,Modal / Bottomsheet,A button on any component type to indicate the user can try again after a failed attempt,Guidance,UAE,,Done,,49,"• Reverify
• Retry"
Go Home,CTA,Modal / Bottomsheet,A button on any component type that indicates the user has to go back home from a specific screen / action,Guidance,UAE,,Done,,50,Return to Home
Enter your email or phone number to get a confirmation OTP.,,,,,,,Not started,Action screen: description,51,
Limit reached,,,,,UAE,,Not started,Action screen: title,52,
"Address verification in progress
Some features won’t be available until your account is verified.",,,,,UAE,,Not started,,53,
Need to reset password?,,,,,UAE,,Not started,Action screen: title,54,Forgot password?
Your address can’t be verified yet since your identity verification failed. Contact us via live chat for help.,,,,,,,Not started,Action screen: description,55,
Unregistered details,,,,,UAE,,Not started,Action screen: title,56,Wrong email?
The code will only be delivered if the email or phone number was used during signup.,,,,,,,Not started,Action screen: description,57,We send the code to your account email. New here? Sign up.
Verify your details,,,,,UAE,,Not started,Action screen: title,58,Verify your details
Verification paused,,,,,UAE,,Not started,Action screen: title,59,
"Account not verified
We couldn’t verify your details. Contact us via live chat for help.
[Open live chat]
[Close]",,,,,UAE,,Not started,,60,
"ID verification failed
Maximum number of ID verification attempts reached. Contact us via live chat for help.
[Open live chat]
[Maybe later]",,,,,UAE,,Not started,,61,
